"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.9007819
0,10,0.88057446
0,15,0.86478126
0,20,0.8520495
0,25,0.8415161
0,30,0.83260846
0,35,0.8249356
0,40,0.81822246
0,45,0.81226987
0,50,0.8069299
0,55,0.8020897
0,60,0.79766154
0,65,0.7935761
0,70,0.7897777
0,75,0.7862212
0,80,0.78286964
0,85,0.77969265
0,90,0.77666515
0,95,0.77376616
0,100,0.77097833
0,105,0.76828706
0,110,0.7656802
0,115,0.7631475
0,120,0.76068026
0,125,0.7582714
0,130,0.7559146
0,135,0.75360477
0,140,0.75133747
0,145,0.7491089
0,150,0.7469158
0,155,0.74475557
0,160,0.7426257
0,165,0.74052423
0,170,0.73844934
0,175,0.7363995
0,180,0.73437333
0,185,0.73236966
0,190,0.73038745
0,195,0.7284258
0,200,0.7264838
0,205,0.72456074
0,210,0.722656
0,215,0.72076887
0,220,0.71889883
0,225,0.7170454
0,230,0.7152081
0,235,0.7133865
0,240,0.7115801
0,245,0.7097886
0,250,0.7080117
0,255,0.70624894
0,260,0.7045
0,265,0.70276475
0,270,0.7010427
0,275,0.6993337
0,280,0.6976375
0,285,0.6959538
0,290,0.6942823
0,295,0.6926229
0,300,0.6909753
0,305,0.68933934
0,310,0.68771476
0,315,0.6861014
0,320,0.684499
0,325,0.6829075
0,330,0.6813267
0,335,0.67975634
0,340,0.67819625
0,345,0.67664635
0,350,0.67510647
0,355,0.6735764
0,360,0.6720561
0,365,0.6705453
0,370,0.66904384
0,375,0.66755176
0,380,0.6660688
0,385,0.6645948
0,390,0.66312975
0,395,0.6616734
0,400,0.6602258
0,405,0.65878665
0,410,0.65735596
0,415,0.65593356
0,420,0.6545194
0,425,0.6531133
0,430,0.65171516
0,435,0.650325
0,440,0.6489426
0,445,0.64756787
0,450,0.6462008
0,455,0.6448412
0,460,0.643489
0,465,0.6421442
0,470,0.6408067
0,475,0.6394763
0,480,0.638153
0,485,0.6368367
0,490,0.6355274
0,495,0.6342249
0,500,0.6329292
0,505,0.63164026
0,510,0.6303579
0,515,0.62908214
0,520,0.62781286
0,525,0.6265501
0,530,0.6252936
0,535,0.62404346
0,540,0.6227996
0,545,0.6215618
0,550,0.6203302
0,555,0.6191047
0,560,0.6178851
0,565,0.61667156
0,570,0.6154638
0,575,0.6142619
0,580,0.61306584
0,585,0.6118755
0,590,0.6106908
0,595,0.6095117
0,600,0.6083382
0,605,0.60717016
0,610,0.60600764
0,615,0.60485053
0,620,0.60369885
0,625,0.6025525
0,630,0.60141134
0,635,0.60027546
0,640,0.5991448
0,645,0.5980193
0,650,0.59689885
0,655,0.59578353
0,660,0.5946732
0,665,0.59356785
0,670,0.5924675
0,675,0.591372
0,680,0.59028137
0,685,0.5891956
0,690,0.58811456
0,695,0.58703834
0,700,0.58596677
0,705,0.58489996
0,710,0.58383775
0,715,0.5827801
0,720,0.5817271
0,1080,0.5161239
0,1440,0.4657704
0,1800,0.42589834
0,2160,0.3935343
0,2520,0.36668074
0,2880,0.34395006
0,3240,0.3243578
0,3600,0.3071942
0,3960,0.29194006
0,4320,0.2782109
0,4680,0.26571852
0,5040,0.25424448
0,5400,0.24362144
0,5760,0.23371987
0,6120,0.22443843
0,6480,0.21569695
0,6840,0.2074314
0,7200,0.19959009
0,7560,0.19213071
0,7920,0.1850184
0,8280,0.17822406
0,8640,0.17172304
0,9000,0.16549437
0,9360,0.15951996
0,9720,0.15378398
0,10080,0.14827257
0,10440,0.14297338
0,10800,0.13787533
0,11160,0.13296844
0,11520,0.12824361
0,11880,0.12369249
0,12240,0.1193074
0,12600,0.115081206
0,12960,0.11100726
0,13320,0.10707936
0,13680,0.103291646
0,14040,0.099638626
0,14400,0.09611508
0,14760,0.09271609
0,15120,0.08943695
0,15480,0.08627319
0,15840,0.083220564
0,16200,0.080274984
0,16560,0.07743257
0,16920,0.07468958
0,17280,0.07204245
0,17640,0.069487736
0,18000,0.06702215
0,18360,0.064642526
0,18720,0.06234581
0,19080,0.060129084
0,19440,0.05798952
0,19800,0.055924404
0,20160,0.05393113
0,20520,0.052007172
0,20880,0.050150104
0,21240,0.048357584
0,21600,0.046627365
0,21960,0.044957265
0,22320,0.04334519
0,22680,0.041789122
0,23040,0.0402871
0,23400,0.03883725
0,23760,0.037437756
0,24120,0.036086865
0,24480,0.034782887
0,24840,0.03352419
0,25200,0.032309204
0,25560,0.031136408
0,25920,0.030004337
0,26280,0.028911578
0,26640,0.027856763
0,27000,0.026838578
0,27360,0.02585575
0,27720,0.024907053
0,28080,0.023991302
0,28440,0.023107354
0,28800,0.022254104
0,29160,0.02143049
0,29520,0.020635482
0,29880,0.01986809
0,30240,0.019127354
0,30600,0.018412352
0,30960,0.01772219
0,31320,0.017056005
0,31680,0.016412972
0,32040,0.015792282
0,32400,0.015193166
0,32760,0.014614874
0,33120,0.014056684
0,33480,0.013517901
0,33840,0.0129978545
0,34200,0.012495893
0,34560,0.012011393
0,34920,0.011543749
0,35280,0.011092379
0,35640,0.01065672
0,36000,0.010236229
0,36360,0.009830384
0,36720,0.009438677
0,37080,0.009060622
0,37440,0.008695748
0,37800,0.008343602
0,38160,0.008003745
0,38520,0.0076757553
0,38880,0.0073592253
0,39240,0.007053762
0,39600,0.006758986
0,39960,0.006474532
0,40320,0.006200047
0,40680,0.0059351902
0,41040,0.0056796335
0,41400,0.0054330593
0,41760,0.0051951627
0,42120,0.0049656485
0,42480,0.004744232
0,42840,0.00453064
0,43200,0.0043246066
0,43560,0.004125878
0,43920,0.0039342092
0,44280,0.0037493631
0,44640,0.0035711133
0,45000,0.0033992408
0,45360,0.003233536
0,45720,0.003073797
0,46080,0.002919831
0,46440,0.0027714525
0,46800,0.0026284843
0,47160,0.0024907563
0,47520,0.002358107
0,47880,0.0022303816
0,48240,0.002107433
0,48600,0.0019891206
0,48960,0.001875311
0,49320,0.0017658772
0,49680,0.0016606982
0,50040,0.0015596588
0,50400,0.0014626489
0,50760,0.0013695634
0,51120,0.0012803014
0,51480,0.0011947657
0,51840,0.0011128627
0,52200,0.001034502
0,52560,0.0009595965
0,52920,0.00088806206
0,53280,0.00081981835
0,53640,0.00075478887
0,54000,0.0006929018
0,54360,0.00063409045
0,54720,0.0005782941
0,55080,0.0005254587
0,55440,0.00047553718
0,55800,0.00042848976
0,56160,0.00038428346
0,56520,0.00034289111
0,56880,0.0003042896
0,57240,0.00026845693
0,57600,0.00023536933
0,57960,0.00020499768
0,58320,0.00017730438
0,58680,0.00015224035
0,59040,0.00012974234
0,59400,0.000109730594
0,59760,9.2106675E-05
0,60120,7.675183E-05
0,60480,6.352619E-05
0,60840,5.2269264E-05
0,61200,4.280235E-05
0,61560,3.4933102E-05
0,61920,2.8462155E-05
