"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.6650049
0,10,0.64920026
0,15,0.6369798
0,20,0.62705576
0,25,0.61884403
0,30,0.6119392
0,35,0.6060521
0,40,0.600972
0,45,0.5965422
0,50,0.5926434
0,55,0.5891833
0,60,0.58608896
0,65,0.583302
0,70,0.5807749
0,75,0.57846874
0,80,0.57635105
0,85,0.574395
0,90,0.5725778
0,95,0.57088035
0,100,0.56928647
0,105,0.56778234
0,110,0.56635624
0,115,0.56499827
0,120,0.5636997
0,125,0.5624534
0,130,0.5612529
0,135,0.56009287
0,140,0.5589687
0,145,0.5578764
0,150,0.55681247
0,155,0.555774
0,160,0.55475837
0,165,0.55376333
0,170,0.552787
0,175,0.5518276
0,180,0.5508838
0,185,0.5499543
0,190,0.5490379
0,195,0.5481336
0,200,0.5472407
0,205,0.5463582
0,210,0.5454857
0,215,0.54462236
0,220,0.54376775
0,225,0.5429215
0,230,0.54208297
0,235,0.54125196
0,240,0.54042804
0,245,0.5396109
0,250,0.53880036
0,255,0.53799605
0,260,0.53719777
0,265,0.5364053
0,270,0.5356185
0,275,0.53483707
0,280,0.53406096
0,285,0.53328997
0,290,0.53252393
0,295,0.5317628
0,300,0.5310063
0,305,0.5302544
0,310,0.52950704
0,315,0.528764
0,320,0.52802527
0,325,0.52729076
0,330,0.5265603
0,335,0.52583385
0,340,0.5251114
0,345,0.5243927
0,350,0.5236779
0,355,0.52296674
0,360,0.52225924
0,365,0.5215553
0,370,0.52085495
0,375,0.520158
0,380,0.5194645
0,385,0.51877433
0,390,0.5180875
0,395,0.5174039
0,400,0.5167235
0,405,0.5160463
0,410,0.5153722
0,415,0.5147012
0,420,0.5140332
0,425,0.5133682
0,430,0.5127061
0,435,0.512047
0,440,0.51139075
0,445,0.51073736
0,450,0.5100868
0,455,0.50943893
0,460,0.5087939
0,465,0.50815153
0,470,0.5075119
0,475,0.5068749
0,480,0.50624055
0,485,0.50560874
0,490,0.50497955
0,495,0.5043529
0,500,0.5037288
0,505,0.5031072
0,510,0.502488
0,515,0.50187135
0,520,0.50125706
0,525,0.5006452
0,530,0.50003576
0,535,0.49942866
0,540,0.4988239
0,545,0.4982215
0,550,0.49762133
0,555,0.4970235
0,560,0.49642792
0,565,0.4958346
0,570,0.4952435
0,575,0.4946546
0,580,0.4940679
0,585,0.4934834
0,590,0.49290103
0,595,0.4923208
0,600,0.49174273
0,605,0.49116677
0,610,0.4905929
0,615,0.49002114
0,620,0.4894514
0,625,0.48888376
0,630,0.48831815
0,635,0.48775455
0,640,0.48719296
0,645,0.4866334
0,650,0.4860758
0,655,0.48552018
0,660,0.48496652
0,665,0.48441482
0,670,0.48386505
0,675,0.4833172
0,680,0.48277125
0,685,0.4822272
0,690,0.48168507
0,695,0.4811448
0,700,0.48060638
0,705,0.48006982
0,710,0.4795351
0,715,0.47900224
0,720,0.4784712
0,1080,0.4444574
0,1440,0.41715324
0,1800,0.39484072
0,2160,0.37633315
0,2520,0.3607697
0,2880,0.3475129
0,3240,0.33608413
0,3600,0.32611957
0,3960,0.31733948
0,4320,0.30952647
0,4680,0.30250996
0,5040,0.2961547
0,5400,0.29035258
0,5760,0.28501645
0,6120,0.28007555
0,6480,0.27547196
0,6840,0.271158
