"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,3.6033313
0,10,3.5228143
0,15,3.4599454
0,20,3.4092948
0,25,3.367417
0,30,3.3320332
0,35,3.3015862
0,40,3.2749808
0,45,3.251423
0,50,3.230322
0,55,3.2112267
0,60,3.1937861
0,65,3.1777227
0,70,3.162813
0,75,3.148876
0,80,3.135764
0,85,3.123355
0,90,3.111548
0,95,3.1002593
0,100,3.0894191
0,105,3.078969
0,110,3.06886
0,115,3.0590513
0,120,3.0495079
0,125,3.0402007
0,130,3.031105
0,135,3.0222
0,140,3.013468
0,145,3.0048935
0,150,2.996464
0,155,2.988168
0,160,2.979996
0,165,2.9719398
0,170,2.9639924
0,175,2.956147
0,180,2.9483986
0,185,2.9407423
0,190,2.9331737
0,195,2.925689
0,200,2.918285
0,205,2.9109583
0,210,2.9037066
0,215,2.8965268
0,220,2.8894172
0,225,2.8823752
0,230,2.875399
0,235,2.8684874
0,240,2.8616376
0,245,2.8548489
0,250,2.8481193
0,255,2.8414478
0,260,2.834833
0,265,2.8282733
0,270,2.8217678
0,275,2.8153152
0,280,2.808915
0,285,2.8025653
0,290,2.7962656
0,295,2.790015
0,300,2.7838125
0,305,2.777657
0,310,2.7715478
0,315,2.765484
0,320,2.7594652
0,325,2.7534902
0,330,2.7475584
0,335,2.741669
0,340,2.7358212
0,345,2.7300146
0,350,2.7242484
0,355,2.718522
0,360,2.7128348
0,365,2.707186
0,370,2.7015753
0,375,2.696002
0,380,2.6904655
0,385,2.6849654
0,390,2.679501
0,395,2.6740718
0,400,2.6686776
0,405,2.6633174
0,410,2.6579912
0,415,2.6526983
0,420,2.6474383
0,425,2.6422107
0,430,2.637015
0,435,2.6318514
0,440,2.6267188
0,445,2.6216168
0,450,2.6165454
0,455,2.6115038
0,460,2.6064923
0,465,2.6015098
0,470,2.5965562
0,475,2.5916314
0,480,2.5867348
0,485,2.581866
0,490,2.577025
0,495,2.5722113
0,500,2.5674245
0,505,2.5626643
0,510,2.5579307
0,515,2.553223
0,520,2.548541
0,525,2.5438848
0,530,2.5392537
0,535,2.5346477
0,540,2.5300663
0,545,2.5255094
0,550,2.5209765
0,555,2.5164678
0,560,2.511983
0,565,2.5075212
0,570,2.503083
0,575,2.4986675
0,580,2.494275
0,585,2.489905
0,590,2.4855573
0,595,2.481232
0,600,2.4769282
0,605,2.4726465
0,610,2.468386
0,615,2.4641469
0,620,2.459929
0,625,2.4557319
0,630,2.4515557
0,635,2.4473999
0,640,2.4432645
0,645,2.4391491
0,650,2.435054
0,655,2.4309785
0,660,2.4269228
0,665,2.4228866
0,670,2.4188697
0,675,2.414872
0,680,2.4108932
0,685,2.4069333
0,690,2.402992
0,695,2.3990693
0,700,2.395165
0,705,2.3912787
0,710,2.3874106
0,715,2.3835607
0,720,2.3797283
0,1080,2.143169
0,1440,1.9644659
0,1800,1.8247286
0,2160,1.712453
0,2520,1.620045
0,2880,1.5422989
0,3240,1.4755614
0,3600,1.4172218
0,3960,1.365386
0,4320,1.3186617
0,4680,1.2760135
0,5040,1.2366629
0,5400,1.200019
0,5760,1.1656288
0,6120,1.1331421
0,6480,1.1022855
0,6840,1.0728439
0,7200,1.0446463
0,7560,1.0175557
0,7920,0.99146134
0,8280,0.9662726
0,8640,0.94191486
0,9000,0.91832596
0,9360,0.89545363
0,9720,0.87325346
0,10080,0.8516873
0,10440,0.8307222
0,10800,0.81032914
0,11160,0.79048264
0,11520,0.7711599
0,11880,0.7523404
0,12240,0.7340055
0,12600,0.7161383
0,12960,0.698723
0,13320,0.68174523
0,13680,0.66519135
0,14040,0.6490487
0,14400,0.63330525
0,14760,0.6179497
0,15120,0.6029714
0,15480,0.58835983
0,15840,0.5741054
0,16200,0.56019855
0,16560,0.5466303
0,16920,0.53339195
0,17280,0.520475
0,17640,0.5078713
0,18000,0.49557316
0,18360,0.4835728
0,18720,0.47186285
0,19080,0.46043614
0,19440,0.44928572
0,19800,0.43840477
0,20160,0.42778674
0,20520,0.4174252
0,20880,0.40731385
0,21240,0.39744672
0,21600,0.3878178
0,21960,0.37842137
0,22320,0.3692518
0,22680,0.36030355
0,23040,0.35157135
0,23400,0.3430499
0,23760,0.33473423
0,24120,0.32661927
0,24480,0.31870025
0,24840,0.31097242
0,25200,0.30343118
0,25560,0.29607207
0,25920,0.28889063
0,26280,0.28188267
0,26640,0.27504396
0,27000,0.26837045
0,27360,0.26185817
0,27720,0.2555032
0,28080,0.24930182
0,28440,0.24325028
0,28800,0.237345
0,29160,0.23158243
0,29520,0.22595918
0,29880,0.22047187
0,30240,0.21511723
0,30600,0.20989208
0,30960,0.20479329
0,31320,0.19981782
0,31680,0.1949627
0,32040,0.19022503
0,32400,0.18560198
0,32760,0.1810908
0,33120,0.1766888
0,33480,0.17239334
0,33840,0.16820183
0,34200,0.16411181
0,34560,0.1601208
0,34920,0.15622644
0,35280,0.15242638
0,35640,0.14871836
0,36000,0.14510015
0,36360,0.14156958
0,36720,0.13812456
0,37080,0.134763
0,37440,0.13148291
0,37800,0.12828232
0,38160,0.1251593
0,38520,0.12211198
0,38880,0.119138554
0,39240,0.116237216
0,39600,0.11340623
0,39960,0.11064391
0,40320,0.10794858
0,40680,0.105318636
0,41040,0.1027525
