"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.8014436
0,10,1.7608334
0,15,1.7290363
0,20,1.703349
0,25,1.6820499
0,30,1.6639993
0,35,1.6484193
0,40,1.6347622
0,45,1.6226314
0,50,1.6117318
0,55,1.6018379
0,60,1.5927743
0,65,1.5844016
0,70,1.5766085
0,75,1.569304
0,80,1.5624139
0,85,1.5558772
0,90,1.549643
0,95,1.5436695
0,100,1.5379212
0,105,1.532369
0,110,1.5269883
0,115,1.5217583
0,120,1.5166618
0,125,1.511684
0,130,1.5068123
0,135,1.5020366
0,140,1.4973476
0,145,1.492738
0,150,1.488201
0,155,1.4837313
0,160,1.4793239
0,165,1.4749748
0,170,1.4706801
0,175,1.4664371
0,180,1.4622427
0,185,1.4580947
0,190,1.4539909
0,195,1.4499295
0,200,1.4459085
0,205,1.4419268
0,210,1.4379827
0,215,1.4340751
0,220,1.4302028
0,225,1.4263648
0,230,1.4225601
0,235,1.4187877
0,240,1.415047
0,245,1.411337
0,250,1.4076571
0,255,1.4040066
0,260,1.4003848
0,265,1.3967911
0,270,1.393225
0,275,1.3896856
0,280,1.3861728
0,285,1.3826859
0,290,1.3792243
0,295,1.3757877
0,300,1.3723756
0,305,1.3689876
0,310,1.3656231
0,315,1.3622818
0,320,1.3589634
0,325,1.3556675
0,330,1.3523935
0,335,1.3491414
0,340,1.3459104
0,345,1.3427007
0,350,1.3395116
0,355,1.3363429
0,360,1.3331943
0,365,1.3300655
0,370,1.3269562
0,375,1.323866
0,380,1.3207948
0,385,1.3177422
0,390,1.3147081
0,395,1.3116922
0,400,1.3086941
0,405,1.3057138
0,410,1.3027508
0,415,1.299805
0,420,1.2968763
0,425,1.2939643
0,430,1.2910688
0,435,1.2881896
0,440,1.2853267
0,445,1.2824796
0,450,1.2796483
0,455,1.2768326
0,460,1.2740322
0,465,1.271247
0,470,1.268477
0,475,1.2657216
0,480,1.2629809
0,485,1.2602549
0,490,1.2575431
0,495,1.2548454
0,500,1.2521619
0,505,1.2494922
0,510,1.2468362
0,515,1.2441939
0,520,1.241565
0,525,1.2389493
0,530,1.2363468
0,535,1.2337575
0,540,1.2311809
0,545,1.2286172
0,550,1.2260661
0,555,1.2235276
0,560,1.2210014
0,565,1.2184875
0,570,1.2159857
0,575,1.213496
0,580,1.2110182
0,585,1.2085522
0,590,1.2060981
0,595,1.2036554
0,600,1.2012243
0,605,1.1988045
0,610,1.1963961
0,615,1.1939988
0,620,1.1916127
0,625,1.1892375
0,630,1.1868732
0,635,1.1845198
0,640,1.182177
0,645,1.1798449
0,650,1.1775233
0,655,1.1752121
0,660,1.1729113
0,665,1.1706208
0,670,1.1683404
0,675,1.1660702
0,680,1.16381
0,685,1.1615598
0,690,1.1593194
0,695,1.1570888
0,700,1.1548679
0,705,1.1526567
0,710,1.150455
0,715,1.1482627
0,720,1.1460799
0,1080,1.0098891
0,1440,0.90484864
0,1800,0.8210761
0,2160,0.75246793
0,2520,0.69496
0,2880,0.64575046
0,3240,0.60286444
0,3600,0.56488544
0,3960,0.53078234
0,4320,0.49979413
0,4680,0.4713519
0,5040,0.44502544
0,5400,0.42048538
0,5760,0.39747685
0,6120,0.3758002
0,6480,0.35529727
0,6840,0.3358414
0,7200,0.31732973
0,7560,0.29967806
0,7920,0.28281632
0,8280,0.26668578
0,8640,0.2512365
0,9000,0.23642576
0,9360,0.22221652
0,9720,0.20857652
0,10080,0.19547749
0,10440,0.18289451
0,10800,0.17080571
0,11160,0.1591919
0,11520,0.14803652
0,11880,0.13732561
0,12240,0.12704806
0,12600,0.117196016
0,12960,0.10776563
0,13320,0.098758094
0,13680,0.090180956
0,14040,0.08204879
0,14400,0.0743815
0,14760,0.06719828
0,15120,0.060509186
0,15480,0.054310665
0,15840,0.048587907
0,16200,0.04332027
0,16560,0.038485374
0,16920,0.034060586
0,17280,0.030022603
0,17640,0.02634694
0,18000,0.023008395
0,18360,0.019982202
0,18720,0.017245121
0,19080,0.014776121
0,19440,0.0125567475
0,19800,0.010571284
0,20160,0.008806746
0,20520,0.0072526825
0,20880,0.005900649
0,21240,0.0047431346
0,21600,0.0037718292
0,21960,0.0029754986
0,22320,0.0023383247
0,22680,0.0018397771
0,23040,0.001456358
0,23400,0.0011643758
0,23760,0.0009424286
0,24120,0.0007727923
0,24480,0.0006416989
0,24840,0.00053891167
0,25200,0.00045702388
0,25560,0.000390748
0,25920,0.00033632014
0,26280,0.00029104587
0,26640,0.00025297332
0,27000,0.00022066534
0,27360,0.00019304399
0,27720,0.00016928482
0,28080,0.00014874531
0,28440,0.00013091584
0,28800,0.00011538586
0,29160,0.00010182008
0,29520,8.994148E-05
0,29880,7.9518926E-05
0,30240,7.035791E-05
0,30600,6.22936E-05
0,30960,5.5185443E-05
0,31320,4.8912996E-05
0,31680,4.3372558E-05
0,32040,3.847449E-05
0,32400,3.414107E-05
0,32760,3.0304678E-05
0,33120,2.6906353E-05
0,33480,2.389455E-05
0,33840,2.1224121E-05
0,34200,1.8855448E-05
0,34560,1.6753715E-05
0,34920,1.4888275E-05
0,35280,1.3232123E-05
0,35640,1.1761435E-05
0,36000,1.0455176E-05
0,36360,9.294751E-06
0,36720,8.263715E-06
0,37080,7.3475126E-06
0,37440,6.533254E-06
0,37800,5.809517E-06
0,38160,5.1661773E-06
0,38520,4.594255E-06
0,38880,4.085785E-06
0,39240,3.6336974E-06
0,39600,3.231717E-06
0,39960,2.8742725E-06
0,40320,2.5564148E-06
0,40680,2.273749E-06
0,41040,2.0223697E-06
0,41400,1.7988074E-06
0,41760,1.5999783E-06
0,42120,1.4231421E-06
0,42480,1.2658627E-06
0,42840,1.1259746E-06
0,43200,1.0015527E-06
0,43560,8.9088564E-07
0,43920,7.924513E-07
