"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.09008446
0,10,0.0880773
0,15,0.086517066
0,20,0.08526724
0,25,0.08424026
0,30,0.083377846
0,35,0.08264009
0,40,0.08199889
0,45,0.08143397
0,50,0.08093025
0,55,0.080476314
0,60,0.08006329
0,65,0.0796842
0,70,0.07933346
0,75,0.07900655
0,80,0.0786998
0,85,0.07841017
0,90,0.07813517
0,95,0.07787273
0,100,0.07762112
0,105,0.07737891
0,110,0.077144876
0,115,0.07691802
0,120,0.07669749
0,125,0.07648257
0,130,0.07627265
0,135,0.076067224
0,140,0.07586584
0,145,0.075668156
0,150,0.07547383
0,155,0.075282596
0,160,0.07509423
0,165,0.07490853
0,170,0.074725315
0,175,0.07454444
0,180,0.074365765
0,185,0.074189186
0,190,0.07401459
0,195,0.073841885
0,200,0.073671
0,205,0.073501855
0,210,0.07333439
0,215,0.073168546
0,220,0.07300426
0,225,0.07284149
0,230,0.07268019
0,235,0.072520316
0,240,0.07236183
0,245,0.072204694
0,250,0.07204887
0,255,0.07189434
0,260,0.07174106
0,265,0.07158901
0,270,0.071438156
0,275,0.07128848
0,280,0.071139954
0,285,0.070992544
0,290,0.070846245
0,295,0.070701025
0,300,0.070556864
0,305,0.070413746
0,310,0.07027165
0,315,0.07013055
0,320,0.06999044
0,325,0.069851294
0,330,0.06971311
0,335,0.069575846
0,340,0.069439515
0,345,0.06930408
0,350,0.069169536
0,355,0.06903587
0,360,0.068903066
0,365,0.06877111
0,370,0.068639986
0,375,0.06850968
0,380,0.06838019
0,385,0.0682515
0,390,0.068123594
0,395,0.067996465
0,400,0.0678701
0,405,0.06774449
0,410,0.06761962
0,415,0.06749549
0,420,0.067372076
0,425,0.06724938
0,430,0.06712739
0,435,0.06700609
0,440,0.06688548
0,445,0.06676554
0,450,0.06664628
0,455,0.06652767
0,460,0.06640972
0,465,0.06629241
0,470,0.06617574
0,475,0.06605969
0,480,0.06594428
0,485,0.06582947
0,490,0.06571527
0,495,0.06560167
0,500,0.06548867
0,505,0.06537625
0,510,0.06526441
0,515,0.06515315
0,520,0.06504246
0,525,0.064932324
0,530,0.06482275
0,535,0.064713724
0,540,0.06460524
0,545,0.0644973
0,550,0.06438989
0,555,0.06428301
0,560,0.06417666
0,565,0.06407081
0,570,0.063965484
0,575,0.06386067
0,580,0.063756354
0,585,0.06365253
0,590,0.063549206
0,595,0.06344637
0,600,0.06334402
0,605,0.063242145
0,610,0.06314075
0,615,0.063039824
0,620,0.06293936
0,625,0.06283937
0,630,0.06273983
0,635,0.06264075
0,640,0.06254211
0,645,0.062443927
0,650,0.062346186
0,655,0.062248882
0,660,0.062152013
0,665,0.062055577
0,670,0.061959572
0,675,0.06186399
0,680,0.061768826
0,685,0.061674085
0,690,0.061579756
0,695,0.06148584
0,700,0.06139233
0,705,0.061299227
0,710,0.061206527
0,715,0.06111422
0,720,0.061022315
0,1080,0.055287205
0,1440,0.050868887
0,1800,0.047358595
0,2160,0.04450144
0,2520,0.04212516
0,2880,0.04010923
0,3240,0.038367506
0,3600,0.036837492
0,3960,0.035473213
0,4320,0.034240462
0,4680,0.03311351
0,5040,0.03207282
0,5400,0.031103417
0,5760,0.030193726
0,6120,0.029334716
0,6480,0.028519291
0,6840,0.027741818
0,7200,0.026997793
0,7560,0.026283585
0,7920,0.025596231
0,8280,0.024933307
0,8640,0.024292799
0,9000,0.023673022
0,9360,0.023072556
0,9720,0.02249019
0,10080,0.02192488
0,10440,0.02137572
0,10800,0.020841917
0,11160,0.020322768
0,11520,0.019817645
0,11880,0.019325987
0,12240,0.018847281
0,12600,0.018381057
0,12960,0.017926889
0,13320,0.017484374
0,13680,0.017053144
0,14040,0.01663285
0,14400,0.016223162
0,14760,0.015823776
0,15120,0.015434394
0,15480,0.015054736
0,15840,0.0146845365
0,16200,0.014323539
0,16560,0.013971498
0,16920,0.013628176
0,17280,0.013293345
0,17640,0.012966787
0,18000,0.012648287
0,18360,0.01233764
0,18720,0.012034645
0,19080,0.0117391115
0,19440,0.0114508495
0,19800,0.011169677
0,20160,0.010895416
0,20520,0.010627896
0,20880,0.010366948
0,21240,0.0101124095
0,21600,0.009864122
0,21960,0.009621929
0,22320,0.009385683
0,22680,0.009155234
0,23040,0.008930442
0,23400,0.008711166
0,23760,0.008497271
0,24120,0.008288625
0,24480,0.008085097
0,24840,0.007886563
0,25200,0.007692901
0,25560,0.0075039896
0,25920,0.0073197135
0,26280,0.0071399584
0,26640,0.0069646137
0,27000,0.006793571
0,27360,0.006626725
0,27720,0.006463973
0,28080,0.006305214
0,28440,0.006150351
0,28800,0.0059992876
0,29160,0.0058519314
0,29520,0.005708191
0,29880,0.005567978
0,30240,0.0054312064
0,30600,0.005297791
0,30960,0.00516765
0,31320,0.0050407033
0,31680,0.0049168724
0,32040,0.0047960808
0,32400,0.004678254
0,32760,0.00456332
0,33120,0.004451207
0,33480,0.0043418463
0,33840,0.0042351703
0,34200,0.004131113
0,34560,0.0040296107
0,34920,0.0039306004
