"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,0.49874774
0,10,0.48689646
0,15,0.47773305
0,20,0.47029173
0,25,0.4641345
0,30,0.45895737
0,35,0.4545434
0,40,0.45073462
0,45,0.4474134
0,50,0.44449043
0,55,0.4418964
0,60,0.43957666
0,65,0.43748736
0,70,0.43559295
0,75,0.43386415
0,80,0.43227673
0,85,0.43081042
0,90,0.42944828
0,95,0.42817593
0,100,0.4269812
0,105,0.42585382
0,110,0.42478496
0,115,0.42376712
0,120,0.4227939
0,125,0.42185977
0,130,0.42096004
0,135,0.42009065
0,140,0.41924816
0,145,0.41842952
0,150,0.41763222
0,155,0.41685393
0,160,0.4160928
0,165,0.41534713
0,170,0.41461545
0,175,0.41389653
0,180,0.41318926
0,185,0.4124927
0,190,0.41180596
0,195,0.41112834
0,200,0.41045916
0,205,0.4097979
0,210,0.40914404
0,215,0.40849712
0,220,0.40785673
0,225,0.40722257
0,230,0.40659425
0,235,0.40597153
0,240,0.40535414
0,245,0.40474185
0,250,0.40413445
0,255,0.40353173
0,260,0.40293357
0,265,0.40233976
0,270,0.40175015
0,275,0.40116462
0,280,0.40058306
0,285,0.4000053
0,290,0.39943132
0,295,0.39886093
0,300,0.3982941
0,305,0.3977307
0,310,0.39717066
0,315,0.3966139
0,320,0.39606035
0,325,0.39550993
0,330,0.39496258
0,335,0.39441824
0,340,0.39387685
0,345,0.39333835
0,350,0.39280272
0,355,0.39226982
0,360,0.39173967
0,365,0.39121222
0,370,0.3906874
0,375,0.39016518
0,380,0.38964552
0,385,0.38912836
0,390,0.3886137
0,395,0.38810146
0,400,0.38759163
0,405,0.3870842
0,410,0.38657907
0,415,0.38607624
0,420,0.38557568
0,425,0.3850774
0,430,0.3845813
0,435,0.38408738
0,440,0.38359565
0,445,0.38310602
0,450,0.38261852
0,455,0.3821331
0,460,0.38164973
0,465,0.3811684
0,470,0.38068908
0,475,0.38021177
0,480,0.37973642
0,485,0.379263
0,490,0.37879154
0,495,0.37832198
0,500,0.3778543
0,505,0.3773885
0,510,0.37692454
0,515,0.37646243
0,520,0.37600216
0,525,0.37554365
0,530,0.37508696
0,535,0.37463203
0,540,0.37417886
0,545,0.37372744
0,550,0.37327772
0,555,0.37282974
0,560,0.37238345
0,565,0.37193885
0,570,0.3714959
0,575,0.37105462
0,580,0.37061498
0,585,0.37017697
0,590,0.3697406
0,595,0.36930582
0,600,0.36887264
0,605,0.36844105
0,610,0.368011
0,615,0.36758253
0,620,0.36715564
0,625,0.36673024
0,630,0.3663064
0,635,0.36588407
0,640,0.36546326
0,645,0.36504394
0,650,0.3646261
0,655,0.36420974
0,660,0.36379486
0,665,0.36338142
0,670,0.36296946
0,675,0.3625589
0,680,0.3621498
0,685,0.36174214
0,690,0.36133584
0,695,0.360931
0,700,0.36052755
0,705,0.36012545
0,710,0.35972476
0,715,0.35932544
0,720,0.3589275
0,1080,0.33343783
0,1440,0.31297487
0,1800,0.29625183
0,2160,0.28237978
0,2520,0.27071378
0,2880,0.26077625
0,3240,0.2522086
0,3600,0.24473816
0,3960,0.2381554
0,4320,0.23229739
0,4680,0.22703631
0,5040,0.2222708
0,5400,0.21791986
0,5760,0.21391816
0,6120,0.21021268
0,6480,0.20676002
0,6840,0.20352443
0,7200,0.20047632
0,7560,0.197591
0,7920,0.19484784
0,8280,0.19222938
0,8640,0.18972091
0,9000,0.18730995
0,9360,0.1849858
0,9720,0.18273932
0,10080,0.18056265
0,10440,0.17844902
0,10800,0.17639257
0,11160,0.1743882
0,11520,0.1724315
0,11880,0.17051858
0,12240,0.16864605
0,12600,0.16681097
0,12960,0.16501072
0,13320,0.163243
0,13680,0.16150576
0,14040,0.15979722
0,14400,0.15811577
0,14760,0.15645999
0,15120,0.15482861
0,15480,0.15322047
0,15840,0.1516346
0,16200,0.15007007
0,16560,0.14852603
0,16920,0.14700176
0,17280,0.14549658
0,17640,0.14400987
0,18000,0.1425411
0,18360,0.14108974
0,18720,0.1396553
0,19080,0.1382374
0,19440,0.13683562
0,19800,0.13544959
0,20160,0.13407898
0,20520,0.13272347
0,20880,0.13138276
0,21240,0.13005659
0,21600,0.12874468
0,21960,0.1274468
0,22320,0.12616272
0,22680,0.12489222
0,23040,0.12363508
0,23400,0.12239112
0,23760,0.121160135
0,24120,0.11994195
0,24480,0.118736394
0,24840,0.117543295
0,25200,0.11636249
0,25560,0.11519382
0,25920,0.11403715
0,26280,0.11289231
0,26640,0.11175917
0,27000,0.1106376
0,27360,0.10952744
0,27720,0.10842858
0,28080,0.10734088
0,28440,0.10626422
0,28800,0.10519847
0,29160,0.10414352
0,29520,0.10309924
0,29880,0.10206552
0,30240,0.10104224
0,30600,0.10002929
0,30960,0.09902656
0,31320,0.09803394
0,31680,0.09705133
0,32040,0.09607862
0,32400,0.0951157
0,32760,0.09416247
0,33120,0.09321884
0,33480,0.092284694
0,33840,0.09135994
0,34200,0.09044449
0,34560,0.08953824
0,34920,0.08864109
0,35280,0.08775295
0,35640,0.08687374
0,36000,0.08600335
0,36360,0.0851417
