"IndividualId","Time [min]","Organism|PeripheralVenousBlood|mAb|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,5,1.6624815
0,10,1.6230165
0,15,1.5925376
0,20,1.567819
0,25,1.5473945
0,30,1.5302461
0,35,1.5156478
0,40,1.5030701
0,45,1.4921197
0,50,1.4824973
0,55,1.4739715
0,60,1.4663595
0,65,1.459515
0,70,1.4533192
0,75,1.4476746
0,80,1.4425005
0,85,1.4377291
0,90,1.4333041
0,95,1.4291776
0,100,1.4253092
0,105,1.4216645
0,110,1.4182142
0,115,1.4149333
0,120,1.4118005
0,125,1.4087976
0,130,1.4059088
0,135,1.4031208
0,140,1.4004217
0,145,1.397802
0,150,1.3952527
0,155,1.3927665
0,160,1.390337
0,165,1.3879586
0,170,1.3856267
0,175,1.3833368
0,180,1.3810854
0,185,1.3788692
0,190,1.3766856
0,195,1.374532
0,200,1.3724062
0,205,1.3703065
0,210,1.368231
0,215,1.3661785
0,220,1.3641474
0,225,1.3621366
0,230,1.3601451
0,235,1.3581719
0,240,1.3562163
0,245,1.3542773
0,250,1.3523543
0,255,1.3504467
0,260,1.3485539
0,265,1.3466754
0,270,1.3448105
0,275,1.342959
0,280,1.3411205
0,285,1.3392944
0,290,1.3374805
0,295,1.3356785
0,300,1.3338878
0,305,1.3321084
0,310,1.33034
0,315,1.3285822
0,320,1.3268348
0,325,1.3250977
0,330,1.3233705
0,335,1.3216531
0,340,1.3199452
0,345,1.3182467
0,350,1.3165575
0,355,1.3148773
0,360,1.3132058
0,365,1.3115432
0,370,1.3098891
0,375,1.3082434
0,380,1.3066059
0,385,1.3049767
0,390,1.3033555
0,395,1.3017421
0,400,1.3001364
0,405,1.2985384
0,410,1.2969481
0,415,1.2953651
0,420,1.2937895
0,425,1.2922211
0,430,1.2906599
0,435,1.2891058
0,440,1.2875586
0,445,1.2860183
0,450,1.2844846
0,455,1.2829579
0,460,1.2814376
0,465,1.279924
0,470,1.278417
0,475,1.2769163
0,480,1.2754219
0,485,1.2739338
0,490,1.2724519
0,495,1.2709762
0,500,1.2695066
0,505,1.2680429
0,510,1.2665854
0,515,1.2651336
0,520,1.2636877
0,525,1.2622477
0,530,1.2608134
0,535,1.2593848
0,540,1.2579618
0,545,1.2565444
0,550,1.2551324
0,555,1.2537261
0,560,1.2523253
0,565,1.2509297
0,570,1.2495396
0,575,1.2481549
0,580,1.2467754
0,585,1.2454011
0,590,1.244032
0,595,1.2426682
0,600,1.2413093
0,605,1.2399555
0,610,1.2386069
0,615,1.2372633
0,620,1.2359246
0,625,1.2345909
0,630,1.233262
0,635,1.231938
0,640,1.2306188
0,645,1.2293046
0,650,1.227995
0,655,1.2266902
0,660,1.2253901
0,665,1.2240946
0,670,1.2228038
0,675,1.2215176
0,680,1.2202361
0,685,1.218959
0,690,1.2176865
0,695,1.2164185
0,700,1.215155
0,705,1.2138959
0,710,1.2126412
0,715,1.211391
0,720,1.2101451
0,1080,1.1305587
0,1440,1.0670247
0,1800,1.0154167
0,2160,0.9728907
0,2520,0.93738484
0,2880,0.9073735
0,3240,0.8817111
0,3600,0.8595272
0,3960,0.8401525
0,4320,0.82306695
0,4680,0.8078622
0,5040,0.79421484
0,5400,0.781866
0,5760,0.7706073
0,6120,0.76026917
0,6480,0.75071305
0,6840,0.74182487
0,7200,0.73351
0,7560,0.72568977
0,7920,0.71829814
0,8280,0.7112795
0,8640,0.704587
0,9000,0.6981807
0,9360,0.69202656
0,9720,0.68609554
0,10080,0.68036264
0,10440,0.6748064
0,10800,0.66940826
0,11160,0.664152
0,11520,0.6590238
0,11880,0.65401137
0,12240,0.6491041
0,12600,0.64429283
0,12960,0.6395693
0,13320,0.63492644
0,13680,0.6303579
0,14040,0.62585825
0,14400,0.6214226
0,14760,0.61704654
0,15120,0.61272633
0,15480,0.6084586
0,15840,0.6042403
0,16200,0.6000688
0,16560,0.59594166
0,16920,0.59185684
0,17280,0.58781236
0,17640,0.5838065
0,18000,0.57983786
0,18360,0.5759049
0,18720,0.5720065
0,19080,0.5681415
0,19440,0.5643089
0,19800,0.5605078
0,20160,0.5567373
0,20520,0.55299664
0,20880,0.54928523
0,21240,0.5456024
0,21600,0.5419474
0,21960,0.53831995
0,22320,0.5347194
0,22680,0.53114533
0,23040,0.5275973
0,23400,0.5240749
0,23760,0.5205778
0,24120,0.51710564
0,24480,0.51365805
0,24840,0.5102347
0,25200,0.5068354
0,25560,0.5034598
0,25920,0.5001077
0,26280,0.4967788
0,26640,0.4934728
0,27000,0.49018958
0,27360,0.48692885
0,27720,0.48369044
0,28080,0.48047408
0,28440,0.47727966
0,28800,0.47410694
0,29160,0.47095573
0,29520,0.46782583
0,29880,0.46471712
0,30240,0.4616294
0,30600,0.45856246
0,30960,0.4555162
0,31320,0.45249042
0,31680,0.449485
0,32040,0.44649974
0,32400,0.4435345
0,32760,0.44058913
0,33120,0.43766353
0,33480,0.43475747
0,33840,0.43187088
0,34200,0.42900357
0,34560,0.42615545
0,34920,0.42332634
0,35280,0.4205161
0,35640,0.41772464
0,36000,0.4149518
0,36360,0.41219747
0,36720,0.4094615
